timestamp,heading,ground_speed
2018-01-01T07:00:47Z,0,0.02
2018-01-01T07:10:07Z,62.26,0.2
2018-01-01T07:20:13Z,306.05,0.19
2018-01-01T07:30:12Z,53.74,0.55
2018-01-01T07:40:11Z,349.31,0.74
2018-01-01T07:50:17Z,19.66,0.12
2018-01-01T08:00:09Z,114.03,0.62
2018-01-01T08:10:08Z,115.34,0.4
2018-01-01T08:20:09Z,155.32,14.58
2018-01-01T08:30:08Z,102.24,0.58
2018-01-01T08:40:09Z,104.2,0.34
2018-01-01T08:50:08Z,104.2,0.48
2018-01-01T09:00:09Z,89.78,0.36
2018-01-01T09:10:23Z,0,0.03
2018-01-01T09:20:08Z,85.2,0.69
2018-01-01T09:30:08Z,323.09,0.13
2018-01-01T09:40:08Z,0,0.03
2018-01-01T09:50:08Z,0,0.03
2018-01-01T10:00:08Z,0,0.03
2018-01-01T10:10:08Z,0,0.15
2018-01-01T10:20:12Z,0,0.17
2018-01-01T10:30:09Z,223.48,16.48
2018-01-01T10:40:08Z,0,0.04
2018-01-01T10:50:22Z,0,0.02
2018-01-01T11:00:08Z,0,0.03
2018-01-01T11:10:09Z,30.15,0.36
2018-01-01T11:20:09Z,348,0.26
2018-01-01T11:30:08Z,15.73,0.36
2018-01-01T11:40:18Z,165.81,0.12
2018-01-01T11:50:09Z,0,0.13
2018-01-01T12:00:09Z,359.14,0.04
2018-01-01T12:10:23Z,0,0.22
2018-01-01T12:20:18Z,0,0.02
2018-01-01T12:30:10Z,0,0.01
2018-01-01T12:40:08Z,0,0.11
2018-01-01T12:50:12Z,0,0.02
2018-01-01T13:00:07Z,0,0.02
2018-01-01T13:10:06Z,0,0.17
2018-01-01T13:20:08Z,53.08,0.48
2018-01-01T13:30:12Z,0,0.01
2018-01-01T13:40:13Z,0,0.06
2018-01-01T13:50:06Z,7.86,0.95
2018-01-01T14:00:06Z,0,0.73
2018-01-01T14:10:09Z,166.46,0.03
2018-01-01T14:20:12Z,108.79,0.12
2018-01-01T14:30:18Z,278.53,0.23
2018-01-01T14:40:23Z,325.06,0.09
2018-01-01T14:50:09Z,0,0.04
2018-01-01T15:00:12Z,350.62,0.43
2018-01-01T15:10:14Z,313.26,0.58
2018-01-01T15:20:16Z,304.74,1.82
2018-01-01T15:30:09Z,0,0.04
2018-01-01T15:40:08Z,290.32,0.07
2018-01-01T15:50:09Z,0,0.05
2018-01-01T16:00:08Z,0,0.02
2018-01-01T16:10:23Z,0,0.13
2018-01-01T16:20:14Z,0,0.05
2018-01-01T16:30:23Z,0,0.01
2018-01-01T16:40:08Z,0,0.06
2018-01-01T16:50:08Z,0,0.14
2018-01-01T17:00:18Z,0,0.04
2018-01-01T17:10:08Z,0,0.11
2018-01-01T17:20:07Z,0,0.22
2018-01-01T17:30:11Z,338.82,0.14
2018-01-01T17:40:08Z,74.71,0.22
2018-01-01T17:50:10Z,94.37,0.04
2018-01-01T18:00:10Z,114.03,0.14
2018-01-01T18:10:09Z,0,0.11
2018-01-01T18:20:10Z,0,0.06
2018-01-01T18:30:09Z,0,0.01
2018-01-01T18:40:09Z,71.43,0.58
2018-01-01T18:50:09Z,0,0.1
2018-01-01T19:00:09Z,199.23,0.09
2018-01-01T19:10:10Z,64.23,0.45
2018-01-01T19:20:11Z,74.06,0.11
2018-01-01T19:30:08Z,0,0.18
2018-01-01T19:40:09Z,0,0.23
2018-01-01T19:50:08Z,0,0.16
2018-01-01T20:00:22Z,0,0.03
2018-01-01T20:10:23Z,0,0.02
2018-01-01T20:20:09Z,0,0.13
2018-01-01T20:30:08Z,0,0.04
2018-01-01T20:40:12Z,346.69,17.03
2018-01-01T20:50:15Z,0,0.22
2018-01-01T21:00:13Z,68.16,0.21
2018-01-01T21:10:23Z,125.83,0.01
2018-01-01T21:20:08Z,0,0.09
2018-01-01T21:30:08Z,101.58,0.48
2018-01-01T21:40:07Z,98.96,1.88
2018-01-01T21:50:09Z,0,0.14
2018-01-01T22:00:09Z,0,0.08
2018-01-01T07:01:41Z,0,0.06
2018-01-01T07:30:34Z,39.32,0.86
2018-01-01T08:32:29Z,0,1.16
2018-01-01T09:00:54Z,79.3,0.25
2018-01-01T12:01:55Z,23.59,0.7
2018-01-01T12:31:17Z,0,1.27
2018-01-01T18:00:56Z,306.71,1.33
2018-01-01T18:31:17Z,0,0.12
2018-01-01T19:00:34Z,44.56,2.66
2018-01-01T19:30:52Z,0,0.65
2018-01-01T20:01:53Z,0,0.14
2018-01-01T20:30:39Z,203.16,11.5
2018-01-01T21:00:47Z,0,0.01
2018-01-01T21:30:53Z,165.81,1.17
2018-01-01T22:00:53Z,0,0.03
