TS,DIR_MEAN_1,H_MEAN_1,P_MEAN_1,T_MEAN_1,WSP_MEAN_1,WSP_MEAN_2,WSP_MEAN_3,WSP_MEAN_4,WSP_MEAN_5
2018-01-01T00:00:00Z,101.56,90.7,920.12,18.95,14.46,14.36,14.27,14.07,13.5
2018-01-01T00:10:00Z,101.56,91.55,920.12,19.81,14.94,14.9,14.75,14.42,13.88
2018-01-01T00:20:00Z,101.56,91.55,919.98,19.81,14.52,14.42,14.27,13.89,13.35
2018-01-01T00:30:00Z,101.56,90.45,919.83,19.81,15.18,15.1,14.95,14.68,13.9
2018-01-01T00:40:00Z,100.16,92.16,919.83,19.81,14.3,14.25,14.1,13.79,13.08
2018-01-01T00:50:00Z,101.56,93.02,919.83,19.81,13.54,13.46,13.32,13.2,12.87
2018-01-01T01:00:00Z,101.56,91.92,919.68,19.81,14.26,14.23,14.04,13.76,12.95
2018-01-01T01:10:00Z,101.56,91.55,919.54,19.81,14.83,14.73,14.67,14.46,13.83
2018-01-01T01:20:00Z,100.16,91.19,919.54,19.81,15,14.97,14.67,14.23,13.52
2018-01-01T01:30:00Z,100.16,91.68,919.46,19.81,14.49,14.4,14.11,13.76,13.05
2018-01-01T01:40:00Z,101.56,93.14,919.39,19.81,14.31,14.21,14.19,13.9,13.21
2018-01-01T01:50:00Z,98.75,91.8,919.32,19.68,14.62,14.56,14.38,14.03,13.4
2018-01-01T02:00:00Z,98.75,91.19,919.32,19.68,14.53,14.45,14.3,13.97,13.51
2018-01-01T02:10:00Z,98.75,91.92,919.39,19.68,13.73,13.65,13.49,13.18,12.76
2018-01-01T02:20:00Z,98.75,91.8,919.32,19.56,14.32,14.19,14.17,13.9,13.34
2018-01-01T02:30:00Z,95.94,91.06,919.24,19.56,14.96,14.92,14.64,14.33,13.6
2018-01-01T02:40:00Z,97.34,91.68,919.24,19.56,14.62,14.56,14.41,14.03,13.44
2018-01-01T02:50:00Z,97.34,93.02,919.32,19.56,13.65,13.59,13.43,13.19,12.49
2018-01-01T03:00:00Z,97.34,92.41,919.24,19.44,14.26,14.21,14.02,13.68,13.03
2018-01-01T03:10:00Z,95.94,91.92,919.1,19.44,14.54,14.5,14.31,14.05,13.38
2018-01-01T03:20:00Z,94.53,92.16,919.02,19.44,14.63,14.57,14.25,13.91,13.3
2018-01-01T03:30:00Z,94.53,93.63,919.02,19.32,14.2,14.14,13.76,13.1,12.35
2018-01-01T03:40:00Z,94.53,93.63,919.02,19.32,14.07,13.98,13.69,13.23,12.56
2018-01-01T03:50:00Z,94.53,94.48,919.1,19.19,13.98,13.9,13.58,13.14,12.42
2018-01-01T04:00:00Z,94.53,94.85,919.1,19.19,13.88,13.8,13.52,12.98,12.23
2018-01-01T04:10:00Z,95.94,95.58,919.02,19.07,13.91,13.79,13.51,13.06,12.4
2018-01-01T04:20:00Z,97.34,95.21,919.02,19.07,13.72,13.6,13.21,12.75,12.04
2018-01-01T04:30:00Z,95.94,93.02,919.02,19.19,13.67,13.57,13.47,13.09,12.18
2018-01-01T04:40:00Z,97.34,93.51,919.1,19.19,13.46,13.38,13.14,12.69,11.98
2018-01-01T04:50:00Z,98.75,94.36,919.1,19.07,14.82,14.75,14.44,13.9,13.09
2018-01-01T05:00:00Z,97.34,93.75,919.32,18.95,14.19,14.12,13.85,13.4,12.57
2018-01-01T05:10:00Z,98.75,94.36,919.39,19.07,13.73,13.66,13.44,13.07,12.35
2018-01-01T05:20:00Z,98.75,93.87,919.39,19.07,14.09,14.01,13.7,13.18,12.57
2018-01-01T05:30:00Z,98.75,93.99,919.61,19.07,13.68,13.62,13.1,12.42,11.52
2018-01-01T05:40:00Z,97.34,96.07,919.76,18.95,13.69,13.59,13.34,12.87,12.04
2018-01-01T05:50:00Z,97.34,96.44,919.83,18.83,13.53,13.45,13.18,12.85,12.22
2018-01-01T06:00:00Z,95.94,97.29,919.98,18.83,13.22,13.16,12.82,12.32,11.63
2018-01-01T06:10:00Z,94.53,95.95,919.9,18.1,13.28,13.23,13.03,12.59,11.76
2018-01-01T06:20:00Z,94.53,94.12,919.9,18.22,13.54,13.44,13.18,12.72,12.01
2018-01-01T06:30:00Z,94.53,92.29,920.12,18.46,12.94,12.88,12.53,12.2,11.74
2018-01-01T06:40:00Z,93.13,93.26,920.34,18.46,12.87,12.77,12.62,12.48,12.08
2018-01-01T06:50:00Z,94.53,93.38,920.34,18.46,12.61,12.55,12.39,12.12,11.45
2018-01-01T07:00:00Z,93.13,92.16,920.42,18.58,12.29,12.2,12.06,11.74,11.3
2018-01-01T07:10:00Z,90.31,90.58,920.56,18.83,12.64,12.54,12.54,12.33,12
2018-01-01T07:20:00Z,90.31,89.11,920.64,18.95,12.49,12.4,12.42,12.35,12.03
2018-01-01T07:30:00Z,87.5,88.14,920.78,19.32,11.88,11.84,11.91,11.86,11.46
2018-01-01T07:40:00Z,91.72,86.43,920.93,19.56,11.28,11.3,11.25,11.16,10.97
2018-01-01T07:50:00Z,88.91,85.82,921,19.68,11.5,11.41,11.39,11.42,11.2
2018-01-01T08:00:00Z,88.91,83.98,921.08,19.93,11.34,11.23,11.11,10.93,10.66
2018-01-01T08:10:00Z,87.5,81.3,921.08,20.29,11.06,11.04,11.1,10.85,10.46
2018-01-01T08:20:00Z,87.5,78.37,921.15,20.78,11.13,11.03,10.84,10.64,10.52
2018-01-01T08:30:00Z,87.5,75.81,921.29,21.02,10.7,10.64,10.54,10.55,10.39
2018-01-01T08:40:00Z,86.09,74.95,921.37,21.02,10.97,10.86,10.9,10.85,10.6
2018-01-01T08:50:00Z,88.91,73.61,921.52,21.27,10.3,10.24,10.19,10.18,10
2018-01-01T09:00:00Z,81.88,71.53,921.66,21.64,9.39,9.35,9.42,9.31,9.19
2018-01-01T09:10:00Z,76.25,68.73,921.88,22,8.23,8.16,8.2,8.17,7.89
